State_Short,State,Quarter,Broad Type of Service, Services ,Benefits, Bulk Billed Services , Patient Billed Services , Bulk Billed Benefits ($) , Patient Billed Benefits ($) ,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($) , Schedule Fee ($) , Fee Charged ($) , Bulk Billed Fee Charged ($) , Patient Billed Fee Charged ($) 
SA,Unknown,2022-23 Q1 (Sep Qtr),Total Medicare,"8,344,657","487,097,291","6,455,376","1,889,281","319,967,541","167,129,750",77.40%,62.29,"533,895,805","628,861,141","319,767,610","309,093,531"
WA,Australia,2022-23 Q1 (Sep Qtr),Total Medicare,"10,882,297","657,963,383","8,381,156","2,501,141","435,621,728","222,341,654",77.00%,69.63,"715,892,349","869,161,061","435,432,243","433,728,818"
Tas,New South Wales,2022-23 Q1 (Sep Qtr),Total Medicare,"2,226,348","133,430,981","1,644,971","581,377","83,072,602","50,358,378",73.90%,60.52,"147,207,874","179,047,072","83,043,433","96,003,639"
NT,Victoria,2022-23 Q1 (Sep Qtr),Total Medicare,"652,128","38,844,609","544,945","107,183","29,828,545","9,016,064",83.60%,65.08,"41,955,821","48,165,572","29,812,257","18,353,315"
ACT,Queensland,2022-23 Q1 (Sep Qtr),Total Medicare,"1,672,067","98,848,545","1,147,165","524,902","53,735,757","45,112,787",68.60%,76.32,"105,041,236","149,029,781","53,707,233","95,322,548"
Unk,South Australia,2022-23 Q1 (Sep Qtr),Total Medicare,"1,648","104,432","1,276",372,"68,247","36,185",77.40%,98.53,"113,933","149,492","68,244","81,248"
Australia,Western Australia,2022-23 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"43,619,161","2,247,160,403","36,365,522","7,253,639","1,884,366,443","362,793,960",83.40%,41.81,"2,237,446,107","2,549,745,500","1,884,366,443","665,379,057"
NSW,Tasmania,2022-23 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"14,365,365","736,838,382","12,444,881","1,920,484","640,023,416","96,814,966",86.60%,40.93,"734,045,122","815,159,319","640,023,416","175,135,903"
Vic,Northern Australia,2022-23 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"11,717,613","594,276,255","9,819,716","1,897,897","498,660,572","95,615,683",83.80%,42.31,"591,306,906","674,426,705","498,660,572","175,766,133"
Qld,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"8,872,673","464,585,289","7,297,621","1,575,052","385,717,628","78,867,662",82.20%,42.9,"462,563,613","531,974,095","385,717,628","146,256,467"
SA,Unknown,2022-23 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"2,955,795","153,069,328","2,399,988","555,807","125,625,409","27,443,920",81.20%,35.57,"152,924,517","172,837,611","125,625,409","47,212,202"
WA,Australia,2022-23 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"4,022,281","208,722,970","3,232,435","789,846","170,539,675","38,183,295",80.40%,42.35,"207,942,340","242,127,667","170,539,675","71,587,992"
Tas,New South Wales,2022-23 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"812,536","43,034,303","589,955","222,581","31,891,688","11,142,615",72.60%,44.91,"42,824,112","53,019,334","31,891,688","21,127,646"
NT,Victoria,2022-23 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"260,589","15,159,154","204,986","55,603","12,510,169","2,648,986",78.70%,38.37,"15,170,447","17,292,389","12,510,169","4,782,220"
ACT,Queensland,2022-23 Q1 (Sep Qtr),Total GP Non-Referred Attendances,"611,773","31,446,484","375,517","236,256","19,375,297","12,071,188",61.40%,48.38,"30,640,895","42,875,148","19,375,297","23,499,852"
Unk,South Australia,2022-23 Q1 (Sep Qtr),Total GP Non-Referred Attendances,536,"28,236",423,113,"22,591","5,645",78.90%,44.22,"28,157","33,232","22,591","10,642"
Australia,Western Australia,2022-23 Q1 (Sep Qtr),Practice Nurse,"760,840","10,769,374","756,564","4,276","10,711,660","57,714",99.40%,7.77,"10,798,998","10,802,594","10,711,660","90,934"
NSW,Tasmania,2022-23 Q1 (Sep Qtr),Practice Nurse,"205,885","2,860,755","204,653","1,232","2,843,700","17,055",99.40%,10,"2,868,013","2,873,081","2,843,700","29,381"
Vic,Northern Australia,2022-23 Q1 (Sep Qtr),Practice Nurse,"161,175","2,130,652","160,426",749,"2,120,358","10,294",99.50%,13.62,"2,141,223","2,140,857","2,120,358","20,499"
Qld,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Practice Nurse,"188,721","2,770,740","187,685","1,036","2,756,940","13,800",99.50%,6.51,"2,776,970","2,777,490","2,756,940","20,549"
SA,Unknown,2022-23 Q1 (Sep Qtr),Practice Nurse,"75,170","1,005,949","74,458",712,"996,687","9,262",99.10%,1.84,"1,009,653","1,007,262","996,687","10,575"
WA,Australia,2022-23 Q1 (Sep Qtr),Practice Nurse,"83,911","1,223,940","83,568",343,"1,219,223","4,717",99.60%,7.05,"1,225,336","1,226,360","1,219,223","7,137"
Tas,New South Wales,2022-23 Q1 (Sep Qtr),Practice Nurse,"19,266","261,889","19,102",164,"259,806","2,083",99.10%,1.03,"262,180","262,059","259,806","2,252"
NT,Victoria,2022-23 Q1 (Sep Qtr),Practice Nurse,"21,733","447,952","21,712",21,"447,687",265,99.90%,0.7,"447,985","447,967","447,687",279
ACT,Queensland,2022-23 Q1 (Sep Qtr),Practice Nurse,"4,970","67,340","4,951",19,"67,101",239,99.60%,1.19,"67,481","67,362","67,101",262
Unk,South Australia,2022-23 Q1 (Sep Qtr),Practice Nurse,9,157,9, -   ,157, -   ,100.00%, - ,157,157,157, -   
Australia,Western Australia,2022-23 Q1 (Sep Qtr),Other Allied Health,"4,004,703","340,772,766","1,948,231","2,056,472","133,742,415","207,030,350",48.60%,61.74,"371,959,900","467,733,066","133,742,415","333,990,651"
NSW,Tasmania,2022-23 Q1 (Sep Qtr),Other Allied Health,"1,236,818","105,534,367","603,140","633,678","41,630,624","63,903,743",48.80%,62.83,"114,558,256","145,348,386","41,630,624","103,717,762"
Vic,Northern Australia,2022-23 Q1 (Sep Qtr),Other Allied Health,"1,180,745","100,333,914","550,205","630,540","37,596,629","62,737,284",46.60%,60.39,"109,421,650","138,414,906","37,596,629","100,818,277"
Qld,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Other Allied Health,"786,853","65,743,281","406,365","380,488","27,978,878","37,764,404",51.60%,61.05,"72,246,665","88,971,481","27,978,878","60,992,603"
SA,Unknown,2022-23 Q1 (Sep Qtr),Other Allied Health,"304,818","24,051,478","185,589","119,229","12,213,135","11,838,343",60.90%,59.41,"27,097,082","31,135,311","12,213,135","18,922,176"
WA,Australia,2022-23 Q1 (Sep Qtr),Other Allied Health,"362,607","32,541,114","164,971","197,636","11,275,485","21,265,629",45.50%,65.65,"35,184,762","45,515,041","11,275,485","34,239,557"
Tas,New South Wales,2022-23 Q1 (Sep Qtr),Other Allied Health,"73,113","6,438,227","22,289","50,824","1,827,028","4,611,199",30.50%,46.29,"7,165,919","8,790,841","1,827,028","6,963,812"
NT,Victoria,2022-23 Q1 (Sep Qtr),Other Allied Health,"12,275","984,120","7,357","4,918","525,409","458,711",59.90%,71.9,"1,119,837","1,337,725","525,409","812,316"
ACT,Queensland,2022-23 Q1 (Sep Qtr),Other Allied Health,"47,439","5,143,718","8,300","39,139","694,221","4,449,496",17.50%,78.49,"5,162,794","8,215,763","694,221","7,521,542"
Unk,South Australia,2022-23 Q1 (Sep Qtr),Other Allied Health,35,"2,548",15,20,"1,005","1,543",42.90%,53.2,"2,936","3,612","1,005","2,607"
Australia,Western Australia,2022-23 Q1 (Sep Qtr),Specialist Attendances,"8,554,997","733,919,592","2,616,945","5,938,052","218,756,869","515,162,723",30.60%,101.5,"819,432,415","1,247,603,054","218,756,869","1,028,846,185"
NSW,Tasmania,2022-23 Q1 (Sep Qtr),Specialist Attendances,"2,938,890","261,199,487","978,075","1,960,815","84,612,133","176,587,354",33.30%,109.18,"287,967,244","446,724,155","84,612,133","362,112,022"
Vic,Northern Australia,2022-23 Q1 (Sep Qtr),Specialist Attendances,"2,434,014","209,487,268","784,030","1,649,984","66,405,884","143,081,385",32.20%,95.17,"235,771,722","342,784,086","66,405,884","276,378,202"
Qld,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Specialist Attendances,"1,603,667","135,000,294","418,674","1,184,993","33,635,006","101,365,288",26.10%,102.07,"151,043,666","235,648,059","33,635,006","202,013,053"
SA,Unknown,2022-23 Q1 (Sep Qtr),Specialist Attendances,"604,350","48,485,674","198,840","405,510","15,633,852","32,851,822",32.90%,81.9,"55,208,352","78,452,377","15,633,852","62,818,525"
WA,Australia,2022-23 Q1 (Sep Qtr),Specialist Attendances,"676,205","54,697,897","151,731","524,474","11,517,031","43,180,865",22.40%,103.54,"61,655,230","100,160,546","11,517,031","88,643,515"
Tas,New South Wales,2022-23 Q1 (Sep Qtr),Specialist Attendances,"159,564","12,407,946","48,774","110,790","3,816,736","8,591,210",30.60%,86.13,"14,353,440","20,472,560","3,816,736","16,655,825"
NT,Victoria,2022-23 Q1 (Sep Qtr),Specialist Attendances,"27,106","2,129,652","8,533","18,573","692,103","1,437,549",31.50%,105.63,"2,478,182","3,749,057","692,103","3,056,953"
ACT,Queensland,2022-23 Q1 (Sep Qtr),Specialist Attendances,"111,060","10,500,689","28,237","82,823","2,440,594","8,060,095",25.40%,121.74,"10,942,505","19,591,426","2,440,594","17,150,831"
Unk,South Australia,2022-23 Q1 (Sep Qtr),Specialist Attendances,141,"10,686",51,90,"3,530","7,155",36.20%,120.58,"12,074","20,789","3,530","17,258"
Australia,Western Australia,2022-23 Q1 (Sep Qtr),Obstetrics,"430,835","46,053,156","244,955","185,880","12,611,443","33,441,713",56.90%,308.37,"50,596,676","116,228,792","12,611,443","103,617,350"
NSW,Tasmania,2022-23 Q1 (Sep Qtr),Obstetrics,"145,272","16,220,080","83,787","61,485","4,430,873","11,789,207",57.70%,388.13,"17,678,018","43,683,046","4,430,873","39,252,173"
Vic,Northern Australia,2022-23 Q1 (Sep Qtr),Obstetrics,"113,613","11,973,435","79,322","34,291","3,944,129","8,029,306",69.80%,491.46,"13,377,450","30,906,230","3,944,129","26,962,101"
Qld,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Obstetrics,"82,226","8,272,579","38,623","43,603","1,961,136","6,311,444",47.00%,161.16,"9,102,858","18,425,857","1,961,136","16,464,721"
SA,Unknown,2022-23 Q1 (Sep Qtr),Obstetrics,"26,320","2,822,759","12,517","13,803","684,441","2,138,318",47.60%,210.27,"3,085,936","6,693,800","684,441","6,009,358"
WA,Australia,2022-23 Q1 (Sep Qtr),Obstetrics,"47,604","5,131,331","22,607","24,997","1,215,272","3,916,058",47.50%,205.81,"5,565,527","12,390,423","1,215,272","11,175,150"
Tas,New South Wales,2022-23 Q1 (Sep Qtr),Obstetrics,"8,142","854,077","4,321","3,821","203,205","650,872",53.10%,192.74,"953,574","1,923,630","203,205","1,720,425"
NT,Victoria,2022-23 Q1 (Sep Qtr),Obstetrics,"2,503","197,869","1,771",732,"68,842","129,027",70.80%,263.19,"221,215","399,188","68,842","330,346"
ACT,Queensland,2022-23 Q1 (Sep Qtr),Obstetrics,"5,155","581,025","2,007","3,148","103,544","477,481",38.90%,341.92,"612,099","1,806,619","103,544","1,703,075"
Australia,South Australia,2022-23 Q1 (Sep Qtr),Anaesthetics,"992,858","141,029,634","98,472","894,386","10,206,817","130,822,817",9.90%,171.54,"182,561,855","356,630,192","10,206,817","346,423,375"
NSW,Western Australia,2022-23 Q1 (Sep Qtr),Anaesthetics,"316,378","46,435,397","35,808","280,570","3,718,674","42,716,723",11.30%,172.54,"60,521,025","120,566,735","3,718,674","116,848,061"
Vic,Tasmania,2022-23 Q1 (Sep Qtr),Anaesthetics,"259,413","36,078,076","26,881","232,532","2,622,872","33,455,204",10.40%,177.69,"45,792,409","90,404,064","2,622,872","87,781,192"
Qld,Northern Australia,2022-23 Q1 (Sep Qtr),Anaesthetics,"201,903","28,393,723","24,392","177,511","2,591,671","25,802,051",12.10%,116.55,"37,085,437","71,598,670","2,591,671","69,006,999"
SA,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Anaesthetics,"77,368","10,495,932","5,455","71,913","654,310","9,841,621",7.10%,127.82,"13,837,262","24,813,465","654,310","24,159,155"
WA,Unknown,2022-23 Q1 (Sep Qtr),Anaesthetics,"101,184","14,445,014","4,293","96,891","438,031","14,006,982",4.20%,329.45,"18,548,387","35,273,965","438,031","34,835,934"
Tas,Australia,2022-23 Q1 (Sep Qtr),Anaesthetics,"19,303","2,757,254",702,"18,601","83,963","2,673,291",3.60%,89.92,"3,639,652","6,914,589","83,963","6,830,626"
NT,New South Wales,2022-23 Q1 (Sep Qtr),Anaesthetics,"4,004","579,664",174,"3,830","19,334","560,330",4.30%,119.66,"766,843","1,413,954","19,334","1,394,620"
ACT,Victoria,2022-23 Q1 (Sep Qtr),Anaesthetics,"13,286","1,841,552",765,"12,521","77,748","1,763,804",5.80%,227,"2,366,844","5,636,617","77,748","5,558,869"
Unk,Queensland,2022-23 Q1 (Sep Qtr),Anaesthetics,19,"3,024",2,17,214,"2,810",10.50%, - ,"3,997","8,133",214,"7,919"
Australia,South Australia,2022-23 Q1 (Sep Qtr),Total Pathology,"40,992,024","963,599,400","36,882,615","4,109,409","874,535,757","89,063,644",90.00%,22.68,"1,142,947,401","1,020,492,990","872,549,813","147,943,177"
NSW,Western Australia,2022-23 Q1 (Sep Qtr),Total Pathology,"14,098,243","336,128,840","12,553,469","1,544,774","304,476,446","31,652,393",89.00%,22.85,"398,696,866","354,376,098","303,766,488","50,609,610"
Vic,Tasmania,2022-23 Q1 (Sep Qtr),Total Pathology,"9,753,068","224,324,179","8,892,013","861,055","204,965,277","19,358,903",91.20%,23.93,"265,919,988","238,364,122","204,541,095","33,823,028"
Qld,Northern Australia,2022-23 Q1 (Sep Qtr),Total Pathology,"8,329,138","197,532,278","7,470,183","858,955","178,445,993","19,086,286",89.70%,23.78,"234,542,509","210,304,242","178,057,591","32,246,651"
SA,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Total Pathology,"3,144,422","70,283,051","2,808,350","336,072","63,024,697","7,258,354",89.30%,18.93,"83,420,507","74,342,142","62,824,766","11,517,377"
WA,Unknown,2022-23 Q1 (Sep Qtr),Total Pathology,"3,970,025","97,130,085","3,583,240","386,785","88,684,098","8,445,988",90.30%,20.83,"115,165,618","102,772,202","88,494,612","14,277,590"
Tas,Australia,2022-23 Q1 (Sep Qtr),Total Pathology,"810,751","18,221,957","753,094","57,657","16,697,801","1,524,156",92.90%,25.79,"21,597,323","19,266,865","16,668,632","2,598,233"
NT,New South Wales,2022-23 Q1 (Sep Qtr),Total Pathology,"234,723","5,259,481","228,440","6,283","5,050,925","208,556",97.30%,28.12,"6,189,571","5,368,051","5,034,637","333,414"
ACT,Victoria,2022-23 Q1 (Sep Qtr),Total Pathology,"650,978","14,701,111","593,198","57,780","13,173,249","1,527,862",91.10%,17.42,"17,393,159","15,680,163","13,144,725","2,535,438"
Unk,Queensland,2022-23 Q1 (Sep Qtr),Total Pathology,676,"18,418",628,48,"17,271","1,147",92.90%,11.35,"21,860","19,105","17,269","1,836"
Australia,South Australia,2022-23 Q1 (Sep Qtr),Diagnostic Imaging,"7,413,228","1,144,405,335","5,868,465","1,544,763","916,889,764","227,515,571",79.20%,122.9,"1,228,106,252","1,315,581,761","916,889,764","398,691,997"
NSW,Western Australia,2022-23 Q1 (Sep Qtr),Diagnostic Imaging,"2,565,827","399,655,244","2,050,011","515,816","323,290,399","76,364,844",79.90%,114.87,"429,902,108","450,669,667","323,290,399","127,379,268"
Vic,Tasmania,2022-23 Q1 (Sep Qtr),Diagnostic Imaging,"1,852,311","283,459,632","1,446,132","406,179","223,826,821","59,632,811",78.10%,127.44,"302,085,157","330,898,801","223,826,821","107,071,980"
Qld,Northern Australia,2022-23 Q1 (Sep Qtr),Diagnostic Imaging,"1,531,321","233,893,606","1,226,120","305,201","189,847,528","44,046,079",80.10%,122.36,"251,080,471","268,962,883","189,847,528","79,115,356"
SA,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Diagnostic Imaging,"493,587","75,690,222","372,278","121,309","57,256,388","18,433,833",75.40%,126.33,"82,079,210","89,540,419","57,256,388","32,284,031"
WA,Unknown,2022-23 Q1 (Sep Qtr),Diagnostic Imaging,"712,065","111,451,751","593,925","118,140","93,581,816","17,869,935",83.40%,130.97,"119,473,756","125,722,976","93,581,816","32,141,160"
Tas,Australia,2022-23 Q1 (Sep Qtr),Diagnostic Imaging,"127,227","19,177,739","90,391","36,836","13,936,298","5,241,441",71.00%,126.27,"20,842,398","23,376,246","13,936,298","9,439,948"
NT,New South Wales,2022-23 Q1 (Sep Qtr),Diagnostic Imaging,"38,375","5,624,781","32,726","5,649","4,836,262","788,519",85.30%,139.23,"6,005,223","6,358,260","4,836,262","1,521,998"
ACT,Victoria,2022-23 Q1 (Sep Qtr),Diagnostic Imaging,"92,402","15,428,460","56,799","35,603","10,297,888","5,130,572",61.50%,135.29,"16,614,088","20,023,711","10,297,888","9,725,823"
Unk,Queensland,2022-23 Q1 (Sep Qtr),Diagnostic Imaging,113,"23,902",83,30,"16,364","7,538",73.50%,162.65,"23,840","28,797","16,364","12,433"
Australia,South Australia,2022-23 Q1 (Sep Qtr),Total Operations,"2,910,877","579,135,814","1,067,579","1,843,298","118,142,865","460,992,948",36.70%,101.73,"717,373,980","1,187,038,480","118,142,865","1,068,895,614"
NSW,Western Australia,2022-23 Q1 (Sep Qtr),Total Operations,"963,350","196,490,403","385,621","577,729","44,867,550","151,622,853",40.00%,112.16,"238,472,034","412,480,650","44,867,550","367,613,100"
Vic,Tasmania,2022-23 Q1 (Sep Qtr),Total Operations,"616,566","133,013,606","173,408","443,158","21,145,737","111,867,869",28.10%,108.88,"167,992,214","272,499,241","21,145,737","251,353,505"
Qld,Northern Australia,2022-23 Q1 (Sep Qtr),Total Operations,"730,107","125,759,041","333,743","396,364","33,520,500","92,238,541",45.70%,96.38,"154,242,566","253,052,428","33,520,500","219,531,928"
SA,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Total Operations,"198,534","42,276,389","60,000","138,534","6,736,054","35,540,335",30.20%,76.54,"53,917,295","81,145,224","6,736,054","74,409,170"
WA,Unknown,2022-23 Q1 (Sep Qtr),Total Operations,"292,619","58,032,184","88,466","204,153","8,631,088","49,401,096",30.20%,85.08,"73,354,985","116,016,783","8,631,088","107,385,695"
Tas,Australia,2022-23 Q1 (Sep Qtr),Total Operations,"60,436","13,056,005","13,408","47,028","1,713,445","11,342,561",22.20%,64.03,"16,590,386","25,725,940","1,713,445","24,012,495"
NT,New South Wales,2022-23 Q1 (Sep Qtr),Total Operations,"12,664","2,367,600","5,385","7,279","548,944","1,818,656",42.50%,97.44,"3,012,997","4,963,692","548,944","4,414,748"
ACT,Victoria,2022-23 Q1 (Sep Qtr),Total Operations,"36,539","8,129,145","7,526","29,013","976,878","7,152,267",20.60%,137.25,"9,777,604","21,125,690","976,878","20,148,812"
Unk,Queensland,2022-23 Q1 (Sep Qtr),Total Operations,62,"11,439",22,40,"2,669","8,770",35.50%,427.74,"13,900","28,832","2,669","26,163"
Australia,South Australia,2022-23 Q1 (Sep Qtr),Optometry,"2,611,119","130,540,378","2,463,222","147,897","123,090,721","7,449,657",94.30%,34.29,"153,154,966","135,611,677","123,090,721","12,520,956"
NSW,Western Australia,2022-23 Q1 (Sep Qtr),Optometry,"845,098","42,193,425","806,210","38,888","40,206,050","1,987,375",95.40%,32.73,"49,522,981","43,466,418","40,206,050","3,260,368"
Vic,Tasmania,2022-23 Q1 (Sep Qtr),Optometry,"667,887","33,553,084","623,611","44,276","31,286,403","2,266,682",93.40%,34.06,"39,361,410","35,061,312","31,286,403","3,774,910"
Qld,Northern Australia,2022-23 Q1 (Sep Qtr),Optometry,"555,860","27,582,140","523,120","32,740","25,985,412","1,596,728",94.10%,32.47,"32,343,118","28,645,045","25,985,412","2,659,633"
SA,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Optometry,"189,706","9,517,544","181,737","7,969","9,127,674","389,870",95.80%,34.6,"11,180,828","9,793,239","9,127,674","665,565"
WA,Unknown,2022-23 Q1 (Sep Qtr),Optometry,"234,090","11,761,369","220,120","13,970","11,062,823","698,546",94.00%,42.38,"13,799,055","12,353,353","11,062,823","1,290,530"
Tas,Australia,2022-23 Q1 (Sep Qtr),Optometry,"57,100","2,855,581","53,659","3,441","2,681,705","173,876",94.00%,28.01,"3,355,306","2,951,965","2,681,705","270,260"
NT,New South Wales,2022-23 Q1 (Sep Qtr),Optometry,"17,422","866,939","17,155",267,"854,052","12,887",98.50%,42.8,"1,019,406","878,366","854,052","24,314"
ACT,Victoria,2022-23 Q1 (Sep Qtr),Optometry,"43,932","2,209,010","37,587","6,345","1,885,376","323,634",85.60%,39.66,"2,571,349","2,460,681","1,885,376","575,305"
Unk,Queensland,2022-23 Q1 (Sep Qtr),Optometry,24,"1,286",23,1,"1,226",60,95.80%,12,"1,512","1,298","1,226",72
Australia,South Australia,2022-23 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"630,703","175,690,367","429,972","200,731","93,649,443","82,040,924",68.20%,67.46,"151,749,551","189,916,676","93,649,443","96,267,233"
